brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Car_Age,Price_per_KM,Milage_per_Year,Price_per_Year,Is_Automatic
Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300.0,13,0.20195682437599263,3642.8571428571427,735.7142857142857,0
Hyundai,Palisade SEL,2021,34742,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005.0,5,1.0938894165731226,5790.333333333333,6334.166666666667,0
Lexus,RX 350 RX 350,2022,22372,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,None reported,Yes,54598.0,4,2.4403522102534305,4474.4,10919.6,1
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,None reported,Yes,15500.0,11,0.1743512446429174,7408.333333333333,1291.6666666666667,0
Audi,Q3 45 S line Premium Plus,2021,9835,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacier White Metallic,Black,None reported,Yes,34999.0,5,3.558255388369256,1639.1666666666667,5833.166666666667,0
Acura,ILX 2.4L,2016,136397,Gasoline,2.4 Liter,F,Silver,Ebony.,None reported,Yes,14798.0,10,0.10849132685229988,12399.727272727272,1345.2727272727273,0
Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,31000.0,9,0.3690432256758848,8400.0,3100.0,0
BMW,740 iL,2001,242000,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Green,None reported,Yes,7300.0,25,0.030165164606757822,9307.692307692309,280.7692307692308,0
Lexus,RC 350 F Sport,2021,23436,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,41927.0,5,1.7889234970346035,3906.0,6987.833333333333,0
Tesla,Model X Long Range Plus,2020,34000,Gasoline,534.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,69950.0,6,2.0572924325755126,4857.142857142857,9992.857142857143,0
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,None reported,Yes,73897.0,5,2.6765547466405883,4601.333333333333,12316.166666666666,1
Aston,Martin DBS Superleggera,2019,22770,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,184606.0,7,8.107066005006368,2846.25,23075.75,0
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,53500.0,5,4.279657627389809,2083.3333333333335,8916.666666666666,0
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000.0,4,3.4071550255536627,3639.2,12400.0,0
Jaguar,F-TYPE,2020,15903,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,None reported,Yes,47998.0,6,3.017982897384306,2271.8571428571427,6856.857142857143,1
Land,Rover LR4 HSE,2013,79800,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,29990.0,13,0.3758098269445245,5700.0,2142.1428571428573,0
Mercedes-Benz,Metris Base,2021,1685,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,None reported,Yes,250000.0,5,148.27995255041517,280.8333333333333,41666.666666666664,0
Dodge,Challenger SXT,2013,61074,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,16800.0,13,0.27507163323782235,4362.428571428572,1200.0,0
Nissan,350Z Enthusiast,2003,74000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,None reported,Yes,11000.0,23,0.1486466399102715,3083.3333333333335,458.3333333333333,0
Jaguar,F-TYPE R,2018,35250,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,68750.0,8,1.9502992822898642,3916.6666666666665,7638.888888888889,0
